Name;Action;Adventure;Children;Comedy;Crime;Drama;Horror;Romance;SciFi;Thriller
Color of Night (1994);0;0;0;0;0;1;0;0;0;1
Cops and Robbersons (1994);0;0;0;1;0;0;0;0;0;0
Cowboy Way, The (1994);1;0;0;1;0;0;0;0;0;0
Dangerous Game (1993);0;0;0;0;0;1;0;0;0;0
Dave (1993);0;0;0;1;0;0;0;1;0;0
Dazed and Confused (1993);0;0;0;1;0;0;0;0;0;0
Demolition Man (1993);1;0;0;0;0;0;0;0;1;0
Endless Summer 2, The (1994);0;0;0;0;0;0;0;0;0;0
Even Cowgirls Get the Blues (1993);0;0;0;1;0;0;0;1;0;0
Fatal Instinct (1993);0;0;0;1;0;0;0;0;0;0
Farewell My Concubine (1993);0;0;0;0;0;1;0;1;0;0
Favor, The (1994);0;0;0;1;0;0;0;1;0;0
Fearless (1993);0;0;0;0;0;1;0;0;0;0
Fear of a Black Hat (1993);0;0;0;1;0;0;0;0;0;0
With Honors (1994);0;0;0;1;0;1;0;0;0;0
Flesh and Bone (1993);0;0;0;0;0;1;0;1;0;0
Widows' Peak (1994);0;0;0;0;0;1;0;0;0;0
For Love or Money (1993);0;0;0;1;0;0;0;0;0;0
Firm, The (1993);0;0;0;0;0;1;0;0;0;1
Free Willy (1993);0;1;1;0;0;1;0;0;0;0
Fresh (1994);0;0;0;0;0;1;0;0;0;0
Fugitive, The (1993);1;0;0;0;0;0;0;0;0;1
Geronimo: An American Legend (1993);0;0;0;0;0;1;0;0;0;0
Getaway, The (1994);1;0;0;0;0;0;0;0;0;0
Getting Even with Dad (1994);0;0;0;1;0;0;0;0;0;0
Go Fish (1994);0;0;0;0;0;1;0;1;0;0
Good Man in Africa, A (1994);1;1;0;0;0;0;0;0;0;0
Guilty as Sin (1993);0;0;0;0;1;1;0;0;0;1
Hard Target (1993);1;1;0;0;1;0;0;0;0;1
Heaven & Earth (1993);1;0;0;0;0;1;0;0;0;0
Hot Shots! Part Deux (1993);1;0;0;1;0;0;0;0;0;0
Live Nude Girls (1995);0;0;0;1;0;0;0;0;0;0
Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995);0;0;0;1;0;0;0;1;0;0
House of the Spirits, The (1993);0;0;0;0;0;1;0;1;0;0
House Party 3 (1994);0;0;0;1;0;0;0;0;0;0
Hudsucker Proxy, The (1994);0;0;0;1;0;0;0;1;0;0
I'll Do Anything (1994);0;0;0;1;0;1;0;0;0;0
In the Army Now (1994);0;0;0;1;0;0;0;0;0;0
In the Line of Fire (1993);1;0;0;0;0;0;0;0;0;1
In the Name of the Father (1993);0;0;0;0;0;1;0;0;0;0
Inkwell, The (1994);0;0;0;1;0;1;0;0;0;0
What's Love Got to Do with It? (1993);0;0;0;0;0;1;0;0;0;0
Jimmy Hollywood (1994);0;0;0;1;0;0;0;0;0;0
Judgment Night (1993);1;0;0;0;0;0;0;0;0;0
Jurassic Park (1993);1;1;0;0;0;0;0;0;1;0
Kalifornia (1993);0;0;0;0;0;1;0;0;0;1
Killing Zoe (1994);0;0;0;0;0;0;0;0;0;1
King of the Hill (1993);0;0;0;0;0;1;0;0;0;0
Lassie (1994);0;1;1;0;0;0;0;0;0;0
Last Action Hero (1993);1;0;0;1;0;0;0;0;0;0
Life with Mikey (1993);0;0;0;1;0;0;0;0;0;0
Lightning Jack (1994);0;0;0;1;0;0;0;0;0;0
M. Butterfly (1993);0;0;0;0;0;1;0;0;0;0
Made in America (1993);0;0;0;1;0;0;0;0;0;0
Malice (1993);0;0;0;0;0;0;0;0;0;1
Man Without a Face, The (1993);0;0;0;0;0;1;0;0;0;0
Manhattan Murder Mystery (1993);0;0;0;1;0;0;0;0;0;0
Menace II Society (1993);1;0;0;0;1;1;0;0;0;0
Executive Decision (1996);1;0;0;0;0;0;0;0;0;1
In the Realm of the Senses (Ai no corrida) (1976);0;0;0;0;0;1;0;0;0;0
What Happened Was... (1994);0;0;0;1;0;1;0;1;0;0
Much Ado About Nothing (1993);0;0;0;1;0;0;0;1;0;0
Mr. Jones (1993);0;0;0;0;0;1;0;1;0;0
Mr. Wonderful (1993);0;0;0;1;0;0;0;1;0;0
Mrs. Doubtfire (1993);0;0;0;1;0;0;0;0;0;0
Naked (1993);0;0;0;0;0;1;0;0;0;0
Next Karate Kid, The (1994);1;0;1;0;0;0;0;0;0;0
New Age, The (1994);0;0;0;0;0;1;0;0;0;0
No Escape (1994);1;0;0;0;0;0;0;0;1;0
North (1994);0;0;0;1;0;0;0;0;0;0
Orlando (1993);0;0;0;0;0;1;0;0;0;0
Perfect World, A (1993);1;0;0;0;0;1;0;0;0;0
Philadelphia (1993);0;0;0;0;0;1;0;0;0;0
Piano, The (1993);0;0;0;0;0;1;0;1;0;0
Poetic Justice (1993);0;0;0;0;0;1;0;0;0;0
Program, The (1993);1;0;0;0;0;1;0;0;0;0
Robert A. Heinlein's The Puppet Masters (1994);0;0;0;0;0;0;1;0;1;0
Radioland Murders (1994);0;0;0;1;0;0;0;1;0;0
Ref, The (1994);0;0;0;1;0;0;0;0;0;0
Remains of the Day, The (1993);0;0;0;0;0;1;0;0;0;0
Renaissance Man (1994);0;0;0;1;0;1;0;0;0;0
Rising Sun (1993);1;0;0;0;0;1;0;0;0;0
Road to Wellville, The (1994);0;0;0;1;0;0;0;0;0;0
Robocop 3 (1993);0;0;0;0;0;0;0;0;1;1
Robin Hood: Men in Tights (1993);0;0;0;1;0;0;0;0;0;0
Romeo Is Bleeding (1993);0;0;0;0;1;0;0;0;0;1
Romper Stomper (1992);1;0;0;0;0;1;0;0;0;0
Ruby in Paradise (1993);0;0;0;0;0;1;0;0;0;0
Rudy (1993);0;0;0;0;0;1;0;0;0;0
Saint of Fort Washington, The (1993);0;0;0;0;0;1;0;0;0;0
Savage Nights (Nuits fauves, Les) (1992);0;0;0;0;0;1;0;0;0;0
Schindler's List (1993);0;0;0;0;0;1;0;0;0;0
Scout, The (1994);0;0;0;0;0;1;0;0;0;0
Searching for Bobby Fischer (1993);0;0;0;0;0;1;0;0;0;0
Second Best (1994);0;0;0;0;0;1;0;0;0;0
Secret Garden, The (1993);0;0;1;0;0;1;0;0;0;0
Serial Mom (1994);0;0;0;1;1;0;1;0;0;0
Shadow, The (1994);1;0;0;0;0;0;0;0;0;0
Shadowlands (1993);0;0;0;0;0;1;0;1;0;0
Short Cuts (1993);0;0;0;0;0;1;0;0;0;0
Simple Twist of Fate, A (1994);0;0;0;0;0;1;0;0;0;0
Sirens (1994);0;0;0;1;0;1;0;0;0;0
Six Degrees of Separation (1993);0;0;0;0;0;1;0;0;0;0
Sleepless in Seattle (1993);0;0;0;1;0;0;0;1;0;0
Sliver (1993);0;0;0;0;0;0;0;0;0;1
Blade Runner (1982);0;0;0;0;0;0;0;0;1;0
Son in Law (1993);0;0;0;1;0;0;0;0;0;0
So I Married an Axe Murderer (1993);0;0;0;1;0;0;0;1;0;1
Striking Distance (1993);1;0;0;0;0;0;0;0;0;0
Harlem (1993);0;0;0;0;0;1;0;0;0;0
Super Mario Bros. (1993);1;1;1;0;0;0;0;0;1;0
Surviving the Game (1994);1;1;0;0;0;0;0;0;0;1
Terminal Velocity (1994);1;0;0;0;0;0;0;0;0;0
Thirty-Two Short Films About Glenn Gould (1993);0;0;0;0;0;0;0;0;0;0
Threesome (1994);0;0;0;1;0;0;0;1;0;0
Nightmare Before Christmas, The (1993);0;0;1;1;0;0;0;0;0;0
Three Musketeers, The (1993);1;1;0;1;0;0;0;0;0;0
Tombstone (1993);0;0;0;0;0;0;0;0;0;0
Trial by Jury (1994);0;0;0;0;0;0;0;0;0;1
True Romance (1993);1;0;0;0;1;0;0;1;0;0
War Room, The (1993);0;0;0;0;0;0;0;0;0;0
Mamma Roma (1962);0;0;0;0;0;1;0;0;0;0
Pagemaster, The (1994);1;1;1;0;0;0;0;0;0;0
Paris, France (1993);0;0;0;1;0;0;0;0;0;0
Beans of Egypt, Maine, The (1994);0;0;0;0;0;1;0;0;0;0
Killer (Bulletproof Heart) (1994);0;0;0;0;0;0;0;0;0;1
Welcome to the Dollhouse (1995);0;0;0;1;0;1;0;0;0;0
Germinal (1993);0;0;0;0;0;1;0;0;0;0
Chasers (1994);0;0;0;1;0;0;0;0;0;0
Cronos (1992);0;0;0;0;0;0;1;0;0;0
Naked in New York (1994);0;0;0;1;0;0;0;1;0;0
Kika (1993);0;0;0;0;0;1;0;0;0;0
Bhaji on the Beach (1993);0;0;0;1;0;1;0;0;0;0
Little Big League (1994);0;0;1;1;0;0;0;0;0;0
Slingshot, The (K?isbellan ) (1993);0;0;0;1;0;1;0;0;0;0
Wedding Gift, The (1994);0;0;0;0;0;1;0;0;0;0
Foreign Student (1994);0;0;0;0;0;1;0;0;0;0
Ciao, Professore! (Io speriamo che me la cavo ) (1993);0;0;0;0;0;1;0;0;0;0
Spanking the Monkey (1994);0;0;0;1;0;1;0;0;0;0
Little Rascals, The (1994);0;0;1;1;0;0;0;0;0;0
Fausto (1993);0;0;0;1;0;0;0;0;0;0
Andre (1994);0;1;1;0;0;0;0;0;0;0
Hour of the Pig, The (1993);0;0;0;0;0;1;0;0;0;0
Scorta, La (1993);0;0;0;0;0;0;0;0;0;1
Princess Caraboo (1994);0;0;0;0;0;1;0;0;0;0
Celluloid Closet, The (1995);0;0;0;0;0;0;0;0;0;0
Metisse (Caf?au Lait) (1993);0;0;0;1;0;0;0;0;0;0
Dear Diary (Caro Diario) (1994);0;0;0;1;0;1;0;0;0;0
I Don't Want to Talk About It (De eso no se habla) (1993);0;0;0;0;0;1;0;0;0;0
Brady Bunch Movie, The (1995);0;0;0;1;0;0;0;0;0;0
Home Alone (1990);0;0;1;1;0;0;0;0;0;0
Ghost (1990);0;0;0;1;0;0;0;1;0;1
Aladdin (1992);0;0;1;1;0;0;0;0;0;0
Terminator 2: Judgment Day (1991);1;0;0;0;0;0;0;0;1;1
Dances with Wolves (1990);0;1;0;0;0;1;0;0;0;0
Tough and Deadly (1995);1;0;0;0;0;1;0;0;0;1
Batman (1989);1;1;0;0;1;1;0;0;0;0
Silence of the Lambs, The (1991);0;0;0;0;0;1;0;0;0;1
Snow White and the Seven Dwarfs (1937);0;0;1;0;0;0;0;0;0;0
Beauty and the Beast (1991);0;0;1;0;0;0;0;0;0;0
Pinocchio (1940);0;0;1;0;0;0;0;0;0;0
Pretty Woman (1990);0;0;0;1;0;0;0;1;0;0
Window to Paris (1994);0;0;0;1;0;0;0;0;0;0
Wild Bunch, The (1969);0;0;0;0;0;0;0;0;0;0
Love and a .45 (1994);0;0;0;0;0;0;0;0;0;1
Wooden Man's Bride, The (Wu Kui) (1994);0;0;0;0;0;1;0;0;0;0
Great Day in Harlem, A (1994);0;0;0;0;0;0;0;0;0;0
Bye Bye, Love (1995);0;0;0;1;0;0;0;0;0;0
Criminals (1996);0;0;0;0;0;0;0;0;0;0
One Fine Day (1996);0;0;0;0;0;1;0;1;0;0
Candyman: Farewell to the Flesh (1995);0;0;0;0;0;0;1;0;0;0
Century (1993);0;0;0;0;0;1;0;0;0;0
Fargo (1996);0;0;0;0;1;1;0;0;0;1
Homeward Bound II: Lost in San Francisco (1996);0;1;1;0;0;0;0;0;0;0
Heavy Metal (1981);1;1;0;0;0;0;1;0;1;0
Hellraiser: Bloodline (1996);1;0;0;0;0;0;1;0;1;0
Pallbearer, The (1996);0;0;0;1;0;0;0;0;0;0
Jane Eyre (1996);0;0;0;0;0;1;0;1;0;0
Loaded (1994);0;0;0;0;0;1;0;0;0;1
Bread and Chocolate (Pane e cioccolata) (1973);0;0;0;0;0;1;0;0;0;0
Aristocats, The (1970);0;0;1;0;0;0;0;0;0;0
Flower of My Secret, The (La Flor de Mi Secreto) (1995);0;0;0;0;0;1;0;0;0;0
Two Much (1996);0;0;0;1;0;0;0;1;0;0
Ed (1996);0;0;0;1;0;0;0;0;0;0
Scream of Stone (Schrei aus Stein) (1991);0;0;0;0;0;1;0;0;0;0
My Favorite Season (1993);0;0;0;0;0;1;0;0;0;0
Modern Affair, A (1995);0;0;0;0;0;0;0;1;0;0
Condition Red (1995);1;0;0;0;0;1;0;0;0;1
Asfour Stah (1990);0;0;0;0;0;1;0;0;0;0
Thin Line Between Love and Hate, A (1996);0;0;0;1;0;0;0;0;0;0
Last Supper, The (1995);0;0;0;0;0;1;0;0;0;1
Primal Fear (1996);0;0;0;0;0;1;0;0;0;1
Rude (1995);0;0;0;0;0;1;0;0;0;0
Carried Away (1996);0;0;0;0;0;1;0;1;0;0
All Dogs Go to Heaven 2 (1996);0;0;1;0;0;0;0;0;0;0
Land and Freedom (Tierra y libertad) (1995);0;0;0;0;0;0;0;0;0;0
Denise Calls Up (1995);0;0;0;1;0;0;0;0;0;0
Theodore Rex (1995);0;0;0;1;0;0;0;0;0;0
Family Thing, A (1996);0;0;0;1;0;1;0;0;0;0
Frisk (1995);0;0;0;0;0;1;0;0;0;0
Sgt. Bilko (1996);0;0;0;1;0;0;0;0;0;0
Jack and Sarah (1995);0;0;0;0;0;0;0;1;0;0
Girl 6 (1996);0;0;0;1;0;0;0;0;0;0
Diabolique (1996);0;0;0;0;0;1;0;0;0;1
Little Indian, Big City (Un indien dans la ville) (1994);0;0;0;1;0;0;0;0;0;0
Roula (1995);0;0;0;0;0;1;0;0;0;0
Peanuts - Die Bank zahlt alles (1996);0;0;0;1;0;0;0;0;0;0
Happy Weekend (1996);0;0;0;1;0;0;0;0;0;0
Nelly & Monsieur Arnaud (1995);0;0;0;0;0;1;0;0;0;0
Courage Under Fire (1996);0;0;0;0;0;1;0;0;0;0
Mission: Impossible (1996);1;1;0;0;0;0;0;0;0;0
Cold Fever (? k?dum klaka) (1994);0;0;0;1;0;1;0;0;0;0
Moll Flanders (1996);0;0;0;0;0;1;0;0;0;0
Superweib, Das (1996);0;0;0;1;0;0;0;0;0;0
301, 302 (1995);0;0;0;0;0;0;0;0;0;0
Dragonheart (1996);1;1;0;0;0;0;0;0;0;0
Und keiner weint mir nach (1996);0;0;0;0;0;1;0;1;0;0
Mutters Courage (1995);0;0;0;1;0;0;0;0;0;0
Eddie (1996);0;0;0;1;0;0;0;0;0;0
Yankee Zulu (1994);0;0;0;1;0;1;0;0;0;0
Billy's Holiday (1995);0;0;0;0;0;1;0;0;0;0
Purple Noon (1960);0;0;0;0;1;0;0;0;0;1
August (1996);0;0;0;0;0;1;0;0;0;0
James and the Giant Peach (1996);0;0;1;0;0;0;0;0;0;0
Fear (1996);0;0;0;0;0;0;0;0;0;1
Kids in the Hall: Brain Candy (1996);0;0;0;1;0;0;0;0;0;0
Faithful (1996);0;0;0;1;0;0;0;0;0;0
Underground (1995);0;0;0;0;0;0;0;0;0;0
All Things Fair (1996);0;0;0;0;0;1;0;0;0;0
Bloodsport 2 (1995);1;0;0;0;0;0;0;0;0;0
Pather Panchali (1955);0;0;0;0;0;1;0;0;0;0
Aparajito (1956);0;0;0;0;0;1;0;0;0;0
World of Apu, The (Apur Sansar) (1959);0;0;0;0;0;1;0;0;0;0
Mystery Science Theater 3000: The Movie (1996);0;0;0;1;0;0;0;0;1;0
Tarantella (1995);0;0;0;0;0;1;0;0;0;0
Space Jam (1996);0;1;1;1;0;0;0;0;0;0
Barbarella (1968);0;1;0;0;0;0;0;0;1;0
Hostile Intentions (1994);1;0;0;0;0;1;0;0;0;1
They Bite (1996);0;0;0;0;0;1;0;0;0;0
Some Folks Call It a Sling Blade (1993);0;0;0;0;0;1;0;0;0;1
Run of the Country, The (1995);0;0;0;0;0;1;0;0;0;0
Alphaville (1965);0;0;0;0;0;0;0;0;1;0
Clean Slate (Coup de Torchon) (1981);0;0;0;0;1;0;0;0;0;0
Tigrero: A Film That Was Never Made (1994);0;0;0;0;0;1;0;0;0;0
Eye of Vichy, The (Oeil de Vichy, L') (1993);0;0;0;0;0;0;0;0;0;0
Windows (1980);0;0;0;0;0;1;0;0;0;0
It's My Party (1995);0;0;0;0;0;1;0;0;0;0
Country Life (1994);0;0;0;0;0;1;0;1;0;0
Operation Dumbo Drop (1995);1;1;0;1;0;0;0;0;0;0
Promise, The (Versprechen, Das) (1994);0;0;0;0;0;0;0;1;0;0
Mrs. Winterbourne (1996);0;0;0;1;0;0;0;1;0;0
Solo (1996);1;0;0;0;0;0;0;0;1;1
Under the Domin Tree (Etz Hadomim Tafus) (1994);0;0;0;0;0;1;0;0;0;0
Substitute, The (1996);1;0;0;0;0;0;0;0;0;0
True Crime (1995);0;0;0;0;0;0;0;0;0;1
Butterfly Kiss (1995);0;0;0;0;0;0;0;0;0;1
Feeling Minnesota (1996);0;0;0;0;0;1;0;1;0;0
Delta of Venus (1994);0;0;0;0;0;1;0;0;0;0
To Cross the Rubicon (1991);0;0;0;0;0;1;0;0;0;0
Angus (1995);0;0;0;1;0;0;0;0;0;0
Daens (1992);0;0;0;0;0;1;0;0;0;0
Faces (1968);0;0;0;0;0;1;0;0;0;0
Boys (1996);0;0;0;0;0;1;0;0;0;0
Quest, The (1996);1;1;0;0;0;0;0;0;0;0
Cosi (1996);0;0;0;1;0;0;0;0;0;0
Sunset Park (1996);0;0;0;0;0;1;0;0;0;0
Mulholland Falls (1996);0;0;0;0;1;0;0;0;0;1
Truth About Cats & Dogs, The (1996);0;0;0;1;0;0;0;1;0;0
Oliver & Company (1988);0;0;1;0;0;0;0;0;0;0
Celtic Pride (1996);0;0;0;1;0;0;0;0;0;0
Flipper (1996);0;1;1;0;0;0;0;0;0;0
Captives (1994);0;0;0;0;0;1;0;0;0;0
Of Love and Shadows (1994);0;0;0;0;0;1;0;0;0;0
Dead Man (1995);0;0;0;0;0;0;0;0;0;0
Horseman on the Roof, The (Hussard sur le toit, Le) (1995);0;0;0;0;0;1;0;0;0;0
Switchblade Sisters (1975);0;0;0;0;1;0;0;0;0;0
Mouth to Mouth (Boca a boca) (1995);0;0;0;1;0;0;0;0;0;0
Visitors, The (Les Visiteurs) (1993);0;0;0;1;0;0;0;0;1;0
Multiplicity (1996);0;0;0;1;0;0;0;0;0;0
Wallace & Gromit: The Best of Aardman Animation (1996);0;0;0;0;0;0;0;0;0;0
Halfmoon (Paul Bowles - Halbmond) (1995);0;0;0;0;0;1;0;0;0;0
Haunted World of Edward D. Wood Jr., The (1995);0;0;0;0;0;0;0;0;0;0
Two Friends (1986);0;0;0;0;0;1;0;0;0;0
Craft, The (1996);0;0;0;0;0;1;1;0;0;0
Great White Hype, The (1996);0;0;0;1;0;0;0;0;0;0
Last Dance (1996);0;0;0;0;0;1;0;0;0;0
War Stories (1995);0;0;0;0;0;0;0;0;0;0
Cold Comfort Farm (1995);0;0;0;1;0;0;0;0;0;0
Institute Benjamenta, or This Dream People Call Human Life (1995);0;0;0;0;0;1;0;0;0;0
Low Life, The (1994);0;0;0;0;0;1;0;0;0;0
Heaven's Prisoners (1996);0;0;0;0;0;0;0;0;0;1
Original Gangstas (1996);0;0;0;0;1;0;0;0;0;0
Rock, The (1996);1;1;0;0;0;0;0;0;0;1
Getting Away With Murder (1996);0;0;0;1;0;0;0;0;0;0
Cemetery Man (Dellamorte Dellamore) (1994);0;0;0;1;0;0;1;0;0;0
Twister (1996);1;1;0;0;0;0;0;1;0;1
Barb Wire (1996);1;0;0;0;0;0;0;0;1;0
Garcu, Le (1995);0;0;0;0;0;1;0;0;0;0
Honigmond (1996);0;0;0;1;0;0;0;0;0;0
Ghost in the Shell (Kokaku kidotai) (1995);0;0;0;0;0;0;0;0;1;0
Thinner (1996);0;0;0;0;0;0;1;0;0;1
Spy Hard (1996);0;0;0;1;0;0;0;0;0;0
Brothers in Trouble (1995);0;0;0;0;0;1;0;0;0;0
Close Shave, A (1995);0;0;0;1;0;0;0;0;0;1
Force of Evil (1948);0;0;0;0;0;0;0;0;0;0
Stupids, The (1996);0;0;0;1;0;0;0;0;0;0
Arrival, The (1996);1;0;0;0;0;0;0;0;1;1
Man from Down Under, The (1943);0;0;0;0;0;1;0;0;0;0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963);0;0;0;0;0;0;0;0;1;0
Careful (1992);0;0;0;1;0;0;0;0;0;0
Vermont Is For Lovers (1992);0;0;0;1;0;0;0;1;0;0
Month by the Lake, A (1995);0;0;0;1;0;1;0;0;0;0
Gold Diggers: The Secret of Bear Mountain (1995);0;1;1;0;0;0;0;0;0;0
Kim (1950);0;0;1;0;0;1;0;0;0;0
Carmen Miranda: Bananas Is My Business (1994);0;0;0;0;0;0;0;0;0;0
Ashes of Time (1994);0;0;0;0;0;1;0;0;0;0
Jar, The (Khomreh) (1992);0;0;0;0;0;1;0;0;0;0
Maya Lin: A Strong Clear Vision (1994);0;0;0;0;0;0;0;0;0;0
Stalingrad (1993);0;0;0;0;0;0;0;0;0;0
Phantom, The (1996);0;1;0;0;0;0;0;0;0;0
Striptease (1996);0;0;0;1;1;0;0;0;0;0
Last of the High Kings, The (a.k.a. Summer Fling) (1996);0;0;0;0;0;1;0;0;0;0
Heavy (1995);0;0;0;0;0;1;0;1;0;0
Jack (1996);0;0;0;1;0;1;0;0;0;0
I Shot Andy Warhol (1996);0;0;0;0;0;1;0;0;0;0
Grass Harp, The (1995);0;0;0;0;0;1;0;0;0;0
Someone Else's America (1995);0;0;0;0;0;1;0;0;0;0
Marlene Dietrich: Shadow and Light (1996);0;0;0;0;0;0;0;0;0;0
Costa Brava (1946);0;0;0;0;0;1;0;0;0;0
Vie est belle, La (Life is Rosey) (1987);0;0;0;1;0;1;0;0;0;0
Quartier Mozart (1992);0;0;0;1;0;0;0;0;0;0
Touki Bouki (Journey of the Hyena) (1973);0;0;0;0;0;1;0;0;0;0
Wend Kuuni (God's Gift) (1982);0;0;0;0;0;1;0;0;0;0
Spirits of the Dead (Tre Passi nel Delirio) (1968);0;0;0;0;0;0;1;0;0;0
Babyfever (1994);0;0;0;1;0;1;0;0;0;0
Pharaoh's Army (1995);0;0;0;0;0;0;0;0;0;0
Trainspotting (1996);0;0;0;0;0;1;0;0;0;0
'Til There Was You (1997);0;0;0;0;0;1;0;1;0;0
Independence Day (ID4) (1996);1;0;0;0;0;0;0;0;1;0
Stealing Beauty (1996);0;0;0;0;0;1;0;0;0;0
Fan, The (1996);0;0;0;0;0;0;0;0;0;1
Hunchback of Notre Dame, The (1996);0;0;1;0;0;0;0;0;0;0
Cable Guy, The (1996);0;0;0;1;0;0;0;0;0;0
Kingpin (1996);0;0;0;1;0;0;0;0;0;0
Eraser (1996);1;0;0;0;0;0;0;0;0;1
Gate of Heavenly Peace, The (1995);0;0;0;0;0;0;0;0;0;0
Nutty Professor, The (1996);0;0;0;1;0;0;0;1;1;0
I, Worst of All (Yo, la peor de todas) (1990);0;0;0;0;0;1;0;0;0;0
An Unforgettable Summer (1994);0;0;0;0;0;1;0;0;0;0
Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995);0;0;0;0;0;0;0;0;0;0
Hungarian Fairy Tale, A (1987);0;0;0;0;0;0;0;0;0;0
My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993);0;0;0;0;0;1;0;0;0;0
Midnight Dancers (Sibak) (1994);0;0;0;1;0;1;0;0;0;0
Somebody to Love (1994);0;0;0;0;0;1;0;0;0;0
Very Natural Thing, A (1974);0;0;0;0;0;1;0;0;0;0
Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991);0;0;0;1;0;0;0;0;0;0
Daylight (1996);1;1;0;0;0;0;0;0;0;1
Frighteners, The (1996);0;0;0;1;0;0;1;0;0;0
Lone Star (1996);0;0;0;0;0;1;0;0;0;0
Harriet the Spy (1996);0;0;1;1;0;0;0;0;0;0
Phenomenon (1996);0;0;0;0;0;1;0;1;0;0
Walking and Talking (1996);0;0;0;0;0;0;0;1;0;0
She's the One (1996);0;0;0;1;0;0;0;1;0;0
Time to Kill, A (1996);0;0;0;0;0;1;0;0;0;0
American Buffalo (1996);0;0;0;0;0;1;0;0;0;0
Rendezvous in Paris (Rendez-vous de Paris, Les) (1995);0;0;0;1;0;0;0;1;0;0
Alaska (1996);0;1;1;0;0;0;0;0;0;0
Fled (1996);1;1;0;0;0;0;0;0;0;0
Kazaam (1996);0;0;1;1;0;0;0;0;0;0
Bewegte Mann, Der (1994);0;0;0;1;0;0;0;0;0;0
Magic Hunter (1994);0;0;0;0;0;1;0;0;0;0
Larger Than Life (1996);0;0;0;1;0;0;0;0;0;0
Boy Called Hate, A (1995);0;0;0;0;0;1;0;0;0;0
Power 98 (1995);1;0;0;0;0;0;0;0;0;1
Two Deaths (1995);0;0;0;0;0;1;0;0;0;0
Very Brady Sequel, A (1996);0;0;0;1;0;0;0;0;0;0
Stefano Quantestorie (1993);0;0;0;1;0;1;0;0;0;0
Death in the Garden (Mort en ce jardin, La) (1956);0;0;0;0;0;1;0;0;0;0
Crude Oasis, The (1995);0;0;0;0;0;0;0;1;0;0
Hedd Wyn (1992);0;0;0;0;0;1;0;0;0;0
Collectionneuse, La (1967);0;0;0;0;0;1;0;0;0;0
Kaspar Hauser (1993);0;0;0;0;0;1;0;0;0;0
Echte Kerle (1996);0;0;0;1;0;0;0;1;0;0
Diebinnen (1995);0;0;0;0;0;1;0;0;0;0
Convent, The (Convento, O) (1995);0;0;0;0;0;1;0;0;0;0
Adventures of Pinocchio, The (1996);0;1;1;0;0;0;0;0;0;0
Joe's Apartment (1996);0;0;0;1;0;0;0;0;0;0
First Wives Club, The (1996);0;0;0;1;0;0;0;0;0;0
Stonewall (1995);0;0;0;0;0;1;0;0;0;0
Ransom (1996);0;0;0;0;0;1;0;0;0;1
High School High (1996);0;0;0;1;0;0;0;0;0;0
Phat Beach (1996);0;0;0;1;0;0;0;0;0;0
Foxfire (1996);0;0;0;0;0;1;0;0;0;0
Chain Reaction (1996);1;1;0;0;0;0;0;0;0;1
Matilda (1996);0;0;1;1;0;0;0;0;0;0
Emma (1996);0;0;0;1;0;1;0;1;0;0
Crow: City of Angels, The (1996);1;0;0;0;0;0;0;0;0;1
House Arrest (1996);0;0;0;1;0;0;0;0;0;0
Eyes Without a Face (1959);0;0;0;0;0;0;1;0;0;0
Tales from the Crypt Presents: Bordello of Blood (1996);0;0;0;0;0;0;1;0;0;0
Lotto Land (1995);0;0;0;0;0;1;0;0;0;0
Story of Xinghua, The (1993);0;0;0;0;0;1;0;0;0;0
Day the Sun Turned Cold, The (Tianguo niezi) (1994);0;0;0;0;0;1;0;0;0;0
Flirt (1995);0;0;0;0;0;1;0;0;0;0
Big Squeeze, The (1996);0;0;0;1;0;1;0;0;0;0
Spitfire Grill, The (1996);0;0;0;0;0;1;0;0;0;0
Escape from L.A. (1996);1;1;0;0;0;0;0;0;1;1
Cyclo (1995);0;0;0;0;1;1;0;0;0;0
Basquiat (1996);0;0;0;0;0;1;0;0;0;0
Tin Cup (1996);0;0;0;1;0;0;0;1;0;0
Dingo (1992);0;0;0;0;0;1;0;0;0;0
Ballad of Narayama, The (Narayama Bushiko) (1958);0;0;0;0;0;1;0;0;0;0
Every Other Weekend (1990);0;0;0;0;0;1;0;0;0;0
Mille bolle blu (1993);0;0;0;1;0;0;0;0;0;0
Crows and Sparrows (1949);0;0;0;0;0;1;0;0;0;0
Godfather, The (1972);1;0;0;0;1;1;0;0;0;0
Hippie Revolution, The (1996);0;0;0;0;0;0;0;0;0;0
Maybe, Maybe Not (Bewegte Mann, Der) (1994);0;0;0;1;0;0;0;0;0;0
Supercop (1992);1;0;0;0;0;0;0;0;0;1
Manny & Lo (1996);0;0;0;0;0;1;0;0;0;0
Celestial Clockwork (1994);0;0;0;1;0;0;0;0;0;0
Wife, The (1995);0;0;0;1;0;1;0;0;0;0
Small Faces (1995);0;0;0;0;0;1;0;0;0;0
Bound (1996);0;0;0;0;1;1;0;1;0;1
Carpool (1996);0;0;0;1;1;0;0;0;0;0
